Nombre,Empresa,Organismo,Sit.General,Tipo,Frac,N.Reg,Sustancia,Superf,Uds,Secc
2 COMP.A LOHENGRIN,INTAUXMA S.A.,LEON,Otorgado,C.Exp.Derivada,00,13342,,51.0718,H,C
2 COMPL A NUEVA PETRONIL,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,30,4407,CBN,135.103,H,D
2 COMPL A WAGNER 4,INTAUXMA S.A.,LEON,Otorgado,C.Exp.Derivada,00,1439,,36.0565,H,C
2 COMPL A WAGNER 7,INTAUXMA S.A.,LEON,Otorgado,C.Exp.Derivada,00,1591,,14.0208,H,C
2 COMPLEMENTO A MONTARAZ,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,10081,CBN,90.068,H,D
2 COMPLEMENTO A WAGNER 2,INTAUXMA S.A.,LEON,Otorgado,C.Exp.Derivada,00,1435,,12.0193,H,C
2 CONCHA,HULLERA VASCO LEONESA S.A,LEON,Otorgado,C.Exp.Derivada,10,2190,CBN,77.9492,H,D
2 D A 2 PINOS,IBERPOTASH (CENTRO SURIA),LERIDA,Otorgado,C.Exp.Derivada,00,3073,POT,7.4,H,C
2 D A 3 NUEVA CARDONA,IBERPOTASH (CENTRO SURIA),LERIDA,Otorgado,C.Exp.Derivada,00,2719,POT,7.7,H,C
2 D A 3 NUEVA CARDONA,IBERPOTASH (CENTRO SURIA),LERIDA,Otorgado,C.Exp.Derivada,00,2885,POT,6.7,H,C
2 D A AGENAISE,IBERPOTASH (CENTRO SURIA),BARCELONA,Otorgado,C.Exp.Derivada,00,2537,POT,3.0,H,C
2 D A ALFONSO,"JOSE , MENDEZ  ESNAL",LEON,Otorgado,C.Exp.Derivada,20,9474,CBN,1.9847,H,D
2 D A ALICIA,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,8465,CBN,7.7752,H,D
2 D A ALLER,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,00,9529,CBN,9.2996,H,D
2 D A AMALIA,ANTRACITAS DEL BIERZO S.L,LEON,Otorgado,C.Exp.Derivada,00,7929,CBN,2.0361,H,D
2 D A AMP N 18,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,20,9840,CBN,2.6232,H,D
2 D A ANDRESITA 4,"LIGNITRANS, S.L., MINERA DEL BAJO SEGRE, S.A.",ZARAGOZA,Otorgado,C.Exp.Directa,00,1562,CBN,4.3,H,D
2 D A ANITA,VILORIA HERMANOS S.A,LEON,Otorgado,C.Exp.Derivada,30,9817,CBN,2.0815,H,D
2 D A ANSELMO,ANTRACITAS DE BESANDE S.A,LEON,Otorgado,C.Exp.Derivada,20,10595,CBN,0.9997,H,D
2 D A AURORA,HULLERAS DE SABERO Y ANEXAS S.A,LEON,Otorgado,C.Exp.Derivada,00,6161,CBN,2.46,H,D
2 D A CABOACHES,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,3236,CBN,18.6804,H,D
2 D A CADUCADA GARDOQUI,HULLERA VASCO LEONESA S.A,LEON,Otorgado,C.Exp.Derivada,00,10851,CBN,2.3098,H,D
2 D A CALAF,IBERPOTASH (CENTRO SURIA),BARCELONA,Otorgado,C.Exp.Derivada,00,2239,POT,6.4,H,C
2 D A CARMEN,"FLORENTINO, LORENZANA  VALCARCE",LEON,Caducado,C.Exp.Derivada,00,736,CBN,8.7337,H,D
2 D A CARMEN,ALTO BIERZO S.A,LEON,Otorgado,C.Exp.Derivada,02,10547,CBN,6.661,H,D
2 D A CHACENA,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,3231,CBN,28.0923,H,D
2 D A CHIMBO,HULLERA VASCO LEONESA S.A,LEON,Otorgado,C.Exp.Derivada,00,7646,CBN,6.9244,H,D
2 D A COLLIN,HULLERA VASCO LEONESA S.A,LEON,Otorgado,C.Exp.Derivada,00,7576,CBN,1.3595,H,D
2 D A EL BRAVO,"CARBONES ARLANZA, S.A",LEON,Otorgado,C.Exp.Derivada,02,9593,CBN,17.2184,H,D
2 D A ELENA,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Derivada,00,7247,CBN,6.1465,H,D
2 D A EUGENIO 2,ANTRACITAS DE BESANDE S.A,LEON,Otorgado,C.Exp.Derivada,20,4242,CBN,4.6842,H,D
2 D A EUGENIO 5,MINAS E INDUSTRIAS LEONESAS S.A,LEON,Otorgado,C.Exp.Derivada,20,9128,CBN,11.4015,H,D
